trial,rep,n_rate,inoc_rate,trt,target_strain,copies_per_g_fw
NE04451,3,Low,Low,PROVEN40,137-2253,22.831845812297
NE04451,3,Low,Low,PROVEN40,6-5687,0
NE04451,3,Low,Medium,PROVEN40,137-2253,12.4904696369953
NE04451,3,Low,Medium,PROVEN40,6-5687,256.1812014366005
NE04451,3,Low,High,PROVEN40,137-2253,38161.24313193305
NE04451,3,Low,High,PROVEN40,6-5687,63442.620909818135
NE04451,4,Low,Control,UTC,137-2253,84.7228414095445
NE04451,4,Low,Control,UTC,6-5687,464.6597848091865
NE04451,4,Low,Low,PROVEN40,137-2253,366.0259983117069
NE04451,4,Low,Low,PROVEN40,6-5687,305.379765627712
NE04451,4,Low,Medium,PROVEN40,137-2253,21254.120580739684
NE04451,4,Low,Medium,PROVEN40,6-5687,1486.63479103749
NE04451,4,Low,High,PROVEN40,137-2253,10.19070926168765
NE04451,4,Low,High,PROVEN40,6-5687,89.727712119302
NE04451,5,Low,Control,UTC,137-2253,31.84735871470415
NE04451,5,Low,Control,UTC,6-5687,0
NE04451,5,Low,Low,PROVEN40,137-2253,1493.0056491722298
NE04451,5,Low,Low,PROVEN40,6-5687,2414.72153041781
NE04451,5,Low,Medium,PROVEN40,137-2253,65.65477458455305
NE04451,5,Low,Medium,PROVEN40,6-5687,371.704156596445
NE04451,5,Low,High,PROVEN40,137-2253,1409.2037366407264
NE04451,5,Low,High,PROVEN40,6-5687,482.9246060361312
NE04451,6,Low,Control,UTC,137-2253,22.9927764254699
NE04451,6,Low,Control,UTC,6-5687,221.442970085244
NE04451,6,Low,Low,PROVEN40,137-2253,74.60590613461915
NE04451,6,Low,Low,PROVEN40,6-5687,0
NE04451,6,Low,Medium,PROVEN40,137-2253,68.138421252594
NE04451,6,Low,Medium,PROVEN40,6-5687,488.160454474643
NE04451,6,Low,High,PROVEN40,137-2253,544.0804371859259
NE04451,6,Low,High,PROVEN40,6-5687,721.794638356049
